"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
1.29307346910272e-31,0.791775142975929,0.792,0.161,3.0199730870894e-27,"PLEKHG4B"
1.97066214809418e-29,2.92442951631639,1,0.586,4.60248144687395e-25,"ROCK1P1"
6.9911943295441e-28,0.978888930286513,0.771,0.173,1.63279343566502e-23,"E2F7"
8.092016109073e-28,1.27319589848101,0.75,0.171,1.889890362274e-23,"VSX1"
9.7200304466499e-28,0.382789781996317,0.833,0.228,2.27011311081508e-23,"ZNF469"
7.88117909719283e-26,0.315111461538911,0.771,0.197,1.84064937814938e-21,"DPP6"
9.99112856309215e-25,0.849977168498015,0.812,0.256,2.33342807591017e-20,"IGF2BP1"
2.97678647377128e-24,0.615899249180928,0.5,0.065,6.95228480949283e-20,"CCDC163P"
4.08778923011243e-24,0.494577322196457,0.833,0.256,9.54703174692758e-20,"SSPO"
4.33521016945097e-24,3.53699152947433,1,0.956,1.01248833507527e-19,"HIF1A"
6.86547819068487e-24,0.313781396897425,0.875,0.338,1.60343243143445e-19,"GPR98"
7.92235806498523e-24,0.48740611035468,0.583,0.097,1.8502667260773e-19,"KIAA0125"
1.11241590797197e-23,0.375969047740331,0.875,0.319,2.59804735306854e-19,"ABCA13"
2.42447616683155e-23,1.12256054619053,0.792,0.233,5.66236408763509e-19,"MED12L"
2.73195845780621e-23,0.772645311503401,0.604,0.105,6.38048897820641e-19,"OR7D2"
3.66666184863328e-23,0.492359370709122,0.667,0.143,8.56348874748303e-19,"CACNA1B"
7.0080572142666e-23,0.765267136679682,0.646,0.136,1.63673176239196e-18,"CACNA1S"
9.17945192809294e-23,0.457380105259147,0.854,0.317,2.14386099780611e-18,"HYDIN"
1.00364480406568e-22,2.62094259041205,1,0.842,2.3440124398954e-18,"EGFR"
1.36802693446526e-22,0.630938785045404,0.792,0.263,3.19502690544362e-18,"CSMD2"
